"","Subject","VeryLate"
"1","EL-1",12
"2","EL-10",0
"3","EL-13",3
"4","EL-14",2
"5","EL-15",0
"6","EL-16",5
"7","EL-17",0
"8","EL-18",1
"9","EL-19",0
"10","EL-2",3
"11","EL-20",0
"12","EL-21",1
"13","EL-22",2
"14","EL-23",1
"15","EL-25",1
"16","EL-28",3
"17","EL-29",0
"18","EL-3",2
"19","EL-31",0
"20","EL-32",0
"21","EL-4",1
"22","EL-5",1
"23","EL-8",1
"24","EL-9",2
"25","HD-1",3
"26","HD-10",0
"27","HD-11",0
"28","HD-12",1
"29","HD-13",4
"30","HD-14",3
"31","HD-15",1
"32","HD-16",2
"33","HD-17",1
"34","HD-18",1
"35","HD-19",4
"36","HD-2",1
"37","HD-20",1
"38","HD-21",0
"39","HD-22",1
"40","HD-24",1
"41","HD-25",14
"42","HD-27",1
"43","HD-28",7
"44","HD-29",2
"45","HD-3",0
"46","HD-31",1
"47","HD-32",3
"48","HD-33",2
"49","HD-34",6
"50","HD-35",2
"51","HD-36",10
"52","HD-37",5
"53","HD-38",4
"54","HD-39",9
"55","HD-41",1
"56","HD-47",0
"57","HD-48",0
"58","HD-49",0
"59","HD-50",1
"60","HD-51",8
"61","HD-6",3
"62","HD-7",1
"63","HD-8",1
"64","HD-9",2
"65","LL-1",4
"66","LL-11",0
"67","LL-12",2
"68","LL-13",1
"69","LL-14",1
"70","LL-15",0
"71","LL-16",2
"72","LL-17",0
"73","LL-18",6
"74","LL-19",3
"75","LL-20",0
"76","LL-21",2
"77","LL-22",1
"78","LL-23",2
"79","LL-24",2
"80","LL-25",5
"81","LL-26",0
"82","LL-27",0
"83","LL-28",0
"84","LL-29",1
"85","LL-3",2
"86","LL-30",2
"87","LL-31",1
"88","LL-32",0
"89","LL-4",4
"90","LL-6",3
"91","LL-7",6
