"Code","BP","Subject","Trial","Time","Group","Number","Date","TestTime","HT","Practice","Reason","Mean","Median","Response","RT","Uncertainty2","Block","Stimulus","Duration","Signer","Question","QuestionType","MultiUnit","SpeakerOnLeft","DyadCode","Brows_YN.code","Brows_YN.relStart","Brows_YN.relStop","Brows_YN.dur","Head-mov_YN.code","Head-mov_YN.relStart","Head-mov_YN.relStop","Head-mov_YN.dur","Main-gloss_YN.code","Main-gloss_YN.relStart","Main-gloss_YN.relStop","Main-gloss_YN.dur","Main-gloss_RC.code","Main-gloss_RC.relStart","Main-gloss_RC.relStop","Main-gloss_RC.dur","Brows_RC.code","Brows_RC.relStart","Brows_RC.relStop","Brows_RC.dur","Head-mov_RC.code","Head-mov_RC.relStart","Head-mov_RC.relStop","Head-mov_RC.dur","Non-dom_YN.code","Non-dom_YN.relStart","Non-dom_YN.relStop","Non-dom_YN.dur","Non-dom_RC.code","Non-dom_RC.relStart","Non-dom_RC.relStop","Non-dom_RC.dur","Brows_MG.code","Brows_MG.relStart","Brows_MG.relStop","Brows_MG.dur","Head-mov_MG.code","Head-mov_MG.relStart","Head-mov_MG.relStop","Head-mov_MG.dur","Non-dom_MG.code","Non-dom_MG.relStart","Non-dom_MG.relStop","Non-dom_MG.dur","Brows_MZ.code","Brows_MZ.relStart","Brows_MZ.relStop","Brows_MZ.dur","Head-mov_MZ.code","Head-mov_MZ.relStart","Head-mov_MZ.relStop","Head-mov_MZ.dur","Main-gloss_MG.code","Main-gloss_MG.relStart","Main-gloss_MG.relStop","Main-gloss_MG.dur","Main-gloss_MZ.code","Main-gloss_MZ.relStart","Main-gloss_MZ.relStop","Main-gloss_MZ.dur","Non-dom_MZ.code","Non-dom_MZ.relStart","Non-dom_MZ.relStop","Non-dom_MZ.dur","AU1..2.ann","AU1..2..4.ann","AU4.ann","AU4..9.ann","AU5.ann","blink.ann","HPb.ann","HT.ann","HPf.ann","HS.ann","Wiggle.ann","NM..BC.ann","NM.ann","nod.ann","HOEVEEL.ann","JIJ.ann","hold.ann","JA.ann","PO.ann","QS.ann","self..groom.ann","tag4.ann","HOE.ann","WAAROM.ann","repetition.ann","WAT.ann","JULLIE..TWEE.ann","tag3.ann","HOE..LANG.ann","AU4..5.ann","tag1.ann","tag2.ann","PO..JIJ.ann","fold..hands.ann","lenghtening.ann","Brows_summary_raises","Brows_summary_frowns","Brows_summary_raiseandfrown","Head_summary_tilts","Head_summary_blinks","Head_summary_mvmts","Backchannel","Nonmanual_prosodic_cues","Manual_prosodic_cues","Question_words","Lexical_cues","Tag_cues","NonWHQuestion_words","Gramm.Q.Assoc.s","Gest.Q.Assoc.s","MGest.Q.Assoc.s","RTms","Item","VeryLate"
"53C.mpeg",-1,"EL-10",0.02,5399649,"EL",10,"12/15/2014","20:28:23",1,1,NA,288.4081633,285,0,0,1,"Test","Target",1000,"RC",-1,NA,-1,"R","YR","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"YR-53C.mpeg",0
"34C.mpeg",-1,"EL-10",0.03,5503633,"EL",10,"12/15/2014","20:28:23",1,1,NA,288.4081633,285,1,30763,1,"Test","Target",3000,"RC",-1,NA,1,"R","YR","","0","0","0","","0","0","0","","0","0","0","PO","2805","3001","196","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2788,"YR-34C.mpeg",0
"9C.mpeg",-1,"EL-10",0.05,5592069,"EL",10,"12/15/2014","20:28:23",1,1,NA,288.4081633,285,1,36497,2,"Test","Target",3360,"RC",-1,NA,-1,"R","YR","","0","0","0","","0","0","0","","0","0","0","QS","3312","3353","41","AU1+2+4",1832,3323,1491,"HT",0,3323,3323,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,3362,"YR-9C.mpeg",0
"29C.mpeg",-1,"EL-10",0.07,5708758,"EL",10,"12/15/2014","20:28:23",1,1,NA,288.4081633,285,1,32202,2,"Test","Target",3000,"YN",-1,NA,1,"R","YR","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2932,"YR-29C.mpeg",0
"48C.mpeg",-1,"EL-10",0.08,5823273,"EL",10,"12/15/2014","20:28:23",1,1,NA,288.4081633,285,1,53738,2,"Test","Target",5040,"YN",-1,NA,-1,"R","YR","AU1+2","8","3097","3089","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5086,"YR-48C.mpeg",0
"33C.mpeg",-1,"EL-10",0.1,5946649,"EL",10,"12/15/2014","20:28:23",1,1,NA,288.4081633,285,1,19488,1,"Test","Target",1600,"RC",-1,NA,-1,"R","YR","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1661,"YR-33C.mpeg",0
"14C.mpeg",-1,"EL-10",0.12,6012182,"EL",10,"12/15/2014","20:28:23",1,1,NA,288.4081633,285,1,24187,2,"Test","Target",1840,"YN",1,"polar",-1,"R","YR","AU1+2","0","1686","1686","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2131,"YR-14C.mpeg",0
"49C.mpeg",-1,"EL-10",0.13,6106637,"EL",10,"12/15/2014","20:28:23",1,1,NA,288.4081633,285,1,14904,2,"Test","Target",1600,"RC",1,"polar",-1,"R","YR","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202,"YR-49C.mpeg",0
"35C.mpeg",-1,"EL-10",0.15,6178857,"EL",10,"12/15/2014","20:28:23",1,1,NA,288.4081633,285,1,5701,2,"Test","Target",4000,"RC",-1,NA,1,"R","YR","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,"YR-35C.mpeg",0
"4C.mpeg",-1,"EL-10",0.17,6215468,"EL",10,"12/15/2014","20:28:23",1,1,NA,288.4081633,285,1,24415,2,"Test","Target",4640,"RC",-1,NA,-1,"R","YR","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2154,"YR-4C.mpeg",0
