BP,Type,Item,Code,Duration,Signer,Question,QuestionType,MultiUnit,SpeakerOnLeft,DyadCode,BackChannelDuringTurn,OverlappingSignsDuringTargetTurn,SpeakerChangeFollowingTargetTurn,Notes,OldMerelQuestion,OldMerelMultiUnit,OldMerelSpeechAct,OldMerelConnieNotes
-1,test,1,1C.mpeg,2200,YN,1,polar,-1,R,YR,1,-1,1,,1,1,,"multi-TCU, bevestigingsvraag. Deel Cե vraag is duidelijk, maar niet wat precies maal 12 is )pestos in dit geval"
-1,test,2,2C.mpeg,1560,YN,-1,NA,-1,R,YR,-1,1,1,,1,1,,"Signer 1 pakt beurt door summons ed, maar signer 1 lijkt niet onderbroken in zijn tekst. Misschien multi TCU, door prosodische minimale pauze"
-1,test,3,3C.mpeg,1080,RC,-1,NA,-1,R,YR,-1,-1,1,,0,0,,
-1,test,4,4C.mpeg,4640,RC,-1,NA,-1,R,YR,-1,-1,1,,0,1,,Gebaar wat Signer 2 in deel A maakt herken ik niet helemaal. Context deel C is wel duidelijk. multi TCU
-1,test,5,5C.mpeg,2160,YN,-1,NA,-1,R,YR,1,-1,-1,,0,0,,"try-marked, mondbeeld loopt door in hold. Misschien geschikt voor oefentrials"
-1,test,6,6C.mpeg,4080,RC,-1,NA,-1,R,YR,-1,1,1,,0,1,,"multi TCU, even overlap, Signer 1 beurt sneuvelt, signer 2 maakt verhaal af"
-1,test,7,7C.mpeg,1560,YN,1,alternative,-1,R,YR,-1,1,1,,1,1,,"OIR, multi TCU. Vraagt F or J. Bedoelt eerste letters van 2 namen, omdat er in deze data geen namen genoemd mag worden. Kan voor de buitenstaander onduidelijk zijn. Boven lijkt er OR gezegd te worden met ASL ipv OF in het Nederlands. Verduidelijkinsgvraag, onderbreekt beurt van S2 hiervoor."
-1,test,8,8C.mpeg,4320,RC,1,alternative,1,R,YR,1,-1,1,alternative question within a wh- structure,1,1,alternative,"alternative question, multi TCU. Begint de vraag niet al eerder"
-1,test,9,9C.mpeg,3360,RC,-1,NA,-1,R,YR,1,-1,1,,0,1,rhetorical,"rhetorical question, multi TCU"
-1,test,10,10C.mpeg,2920,RC,-1,NA,-1,R,YR,-1,1,1,,0,0,DQ,"Vraag begint eerder, nog aanpassen. S2 onderbreekt S1 met een suggestie. Half vraag dus, half niet ' NIET AANGEPAST, ANDERS WORDT TE VEEL INFORMATIE VAN DE OVERLAPPENDE BEURT GEMIST"
