Order,Subject,BP,HT,Practice,IncludeBP,Reason,Group,Number,Mean,Median
1,EL-1,-1,1,1,1,NA,1,1,322.7346939,317
2,EL-2,1,-1,2,1,NA,1,2,288.3,276.5
3,EL-3,1,-1,1,1,NA,1,3,232.0612245,215
4,EL-4,-1,1,1,1,NA,1,4,280.3877551,278
5,EL-5,1,-1,1,1,NA,1,5,265.1632653,260
6,EL-6,1,-1,2,1,NA,1,6,326.0612245,305
7,EL-7,-1,1,2,1,NA,1,7,267.5510204,253
8,EL-8,1,-1,1,1,NA,1,8,235.32,223.5
9,EL-9,-1,1,2,1,NA,1,9,263.6530612,260
10,EL-10,-1,1,1,1,NA,1,10,288.4081633,285
11,EL-11,-1,1,1,0,Task misunderstanding,1,11,241.8163265,236
12,EL-12,-1,1,2,0,Not completed,1,12,446.9583333,423.5
13,EL-13,1,-1,2,1,NA,1,13,236.3877551,228
14,EL-14,1,-1,1,1,NA,1,14,288.9591837,282
15,EL-15,-1,1,1,1,NA,1,15,374.625,313.5
16,EL-16,-1,1,3,1,NA,1,16,284.5102041,277
17,EL-17,1,-1,1,1,NA,1,17,287.244898,272
18,EL-18,1,-1,1,1,NA,1,18,374.1,342.5
19,EL-19,1,-1,2,1,NA,1,19,275.0612245,268
20,EL-20,-1,1,1,1,NA,1,20,219.6326531,205
21,EL-21,1,-1,1,1,NA,1,21,297.4489796,292
22,EL-22,1,-1,1,1,NA,1,22,284.6122449,265
23,EL-23,-1,1,2,1,NA,1,23,272.1020408,265
24,EL-24,1,-1,2,1,NA,1,24,253.4285714,250
25,EL-25,-1,1,2,1,NA,1,25,318.6122449,295
26,EL-26,-1,1,2,1,NA,1,26,294.4285714,274
27,EL-27,-1,1,2,1,NA,1,27,347.5918367,332
28,EL-28,-1,1,1,1,NA,1,28,340.6530612,325
29,EL-29,1,-1,2,1,NA,1,29,339.122449,308
30,EL-30,1,-1,2,0,Motor problems,1,30,677.2307692,693
31,EL-31,1,-1,1,1,NA,1,31,370.7959184,351
32,EL-32,1,-1,2,1,NA,1,32,298,284
33,LL-1,-1,1,1,1,NA,-1,1,285.0204082,272
34,LL-2,-1,1,1,1,NA,-1,2,315.8367347,302
35,LL-3,1,-1,1,1,NA,-1,3,267.5714286,261
36,LL-4,1,-1,2,1,NA,-1,4,237.4489796,233
37,LL-5,1,-1,1,0,Not a fluent NGT signer,-1,5,246.5918367,237
38,LL-6,-1,1,1,1,NA,-1,6,276.3673469,266
39,LL-7,-1,1,1,1,was marked with 0,-1,7,289.9583333,270
40,LL-8,-1,1,2,0,Task misunderstanding,-1,8,376.5918367,346
41,LL-9,-1,1,1,1,NA,-1,9,353.1428571,319
42,LL-10,-1,1,3,0,Not completed,-1,10,264.0408163,244
43,LL-11,-1,1,1,1,NA,-1,11,300.3265306,289
44,LL-12,1,-1,1,1,NA,-1,12,268.4081633,252
45,LL-13,-1,1,2,1,NA,-1,13,262.244898,258
46,LL-14,1,-1,1,1,NA,-1,14,286.4285714,275
47,LL-15,1,-1,1,1,was marked with 0,-1,15,245.8039216,225
48,LL-16,1,-1,1,1,was marked with 0,-1,16,249.0204082,243
49,LL-17,1,-1,2,1,NA,-1,17,274.3877551,250
50,LL-18,1,-1,2,1,NA,-1,18,298,284
51,LL-19,-1,1,1,1,NA,-1,19,328.3469388,318
52,LL-20,1,-1,2,1,NA,-1,20,253.5102041,251
53,LL-21,-1,1,1,1,NA,-1,21,266.2857143,259
54,LL-22,1,-1,1,1,NA,-1,22,254.3061224,239
55,LL-23,-1,1,1,1,NA,-1,23,362.5714286,343
56,LL-24,-1,1,2,1,NA,-1,24,285.32,279.5
57,LL-25,-1,1,2,1,NA,-1,25,265.1632653,257
58,LL-26,1,-1,2,1,NA,-1,26,306.4897959,276
59,LL-27,1,-1,1,1,NA,-1,27,256.2291667,249.5
60,LL-28,-1,1,2,1,NA,-1,28,275.6938776,272
61,LL-29,1,-1,2,1,NA,-1,29,291.9387755,287
62,LL-30,1,-1,1,1,NA,-1,30,336.8958333,307
63,LL-31,1,-1,2,1,NA,-1,31,298,284
64,LL-32,1,-1,1,1,NA,-1,32,298,284
65,HD-1,1,-1,1,1,NA,0,1,457.2327,272
66,HD-2,-1,1,1,1,NA,0,2,377.9635,272.25
67,HD-3,1,-1,1,1,NA,0,3,429.2906,327.7
68,HD-4,-1,-1,1,0,Experimenter error,0,4,541.5098,346.4
69,HD-5,-1,-1,1,0,Experimenter error,0,5,343.9471,248.5
70,HD-6,-1,1,1,1,NA,0,6,392.5471,302
71,HD-7,-1,1,1,1,NA,0,7,311.5039,305.1
72,HD-8,-1,1,1,1,NA,0,8,381.8353,272.5
73,HD-9,1,-1,1,1,NA,0,9,251.7765,245.6
74,HD-10,-1,1,1,1,NA,0,10,270.7882,249.3
75,HD-11,-1,1,1,1,NA,0,11,310.1176,290.6
76,HD-12,1,-1,1,1,NA,0,12,241.2412,218.2
77,HD-13,1,-1,1,1,NA,0,13,323.1529,240.9
78,HD-14,1,-1,2,1,NA,0,14,295.1137,284
79,HD-15,1,-1,1,1,NA,0,15,385.4314,291.2
80,HD-16,1,-1,1,1,NA,0,16,379.949,304
81,HD-17,-1,1,1,1,NA,0,17,401.5922,308.4
82,HD-18,1,-1,1,1,NA,0,18,252.6451,222.8
83,HD-19,1,-1,1,1,NA,0,19,276.8431,259.9
84,HD-20,-1,1,2,1,NA,0,20,446.049,329.8
85,HD-21,1,-1,1,1,NA,0,21,395.3961,280.4
86,HD-22,1,-1,1,1,NA,0,22,266.4826,240.1
87,HD-23,-1,1,1,1,NA,0,23,317.4717,299.4
88,HD-24,-1,1,1,1,NA,0,24,388.4196,316.75
89,HD-25,1,-1,2,1,NA,0,25,400.1739,370.1
90,HD-26,-1,1,1,1,NA,0,26,352.813,318.6
91,HD-27,1,-1,1,1,NA,0,27,263.9826,252.9
92,HD-28,1,-1,2,1,NA,0,28,272.3543,263.8
93,HD-29,-1,1,1,1,NA,0,29,284.7261,260.45
94,HD-30,-1,1,2,1,NA,0,30,263.0565,255.15
95,HD-31,1,-1,1,1,NA,0,31,275.0087,261.6
96,HD-32,1,-1,2,1,NA,0,32,262.4313,253.95
97,HD-33,-1,1,1,1,NA,0,33,257.113,251.3
98,HD-34,1,-1,1,1,NA,0,34,356.6174,336.2
99,HD-35,-1,1,2,1,NA,0,35,360.2239,354.8
100,HD-36,-1,1,2,1,NA,0,36,254.437,241.5
101,HD-37,-1,1,1,1,NA,0,37,281.3283,258.55
