"tier","start","stop","dur","code","dyad"
"Turns",29493,40422,10929,"P10A","MM"
"Turns",40422,44716,4294,"P10C","MM"
"Turns",75490,79532,4042,"P11A","MM"
"Turns",79532,83753,4221,"P11C","MM"
"Turns",153529,158350,4821,"P12A","MM"
"Turns",158350,163624,5274,"P12C","MM"
"Turns",181464,184996,3532,"P13A","MM"
"Turns",184996,191783,6787,"P13C","MM"
"Turns",194094,202089,7995,"P14A","MM"
"Turns",202089,203486,1397,"P14C","MM"
"Turns",388434,392575,4141,"P15A","MM"
"Turns",392575,396387,3812,"P15C","MM"
"Turns",396574,406353,9779,"R1A","MM"
"Turns",406353,408000,1647,"R1C","MM"
"Turns",545259,547543,2284,"26A","MM"
"Turns",547543,549285,1742,"26C","MM"
"Turns",566806,575485,8679,"P3A","MM"
"Turns",575485,577928,2443,"P3C","MM"
"Turns",599499,604492,4993,"28A","MM"
"Turns",604492,608745,4253,"28C","MM"
"Turns",627666,631942,4276,"29A","MM"
"Turns",631942,634328,2386,"29C","MM"
"Turns",736016,742816,6800,"31A","MM"
"Turns",742816,745288,2472,"31C","MM"
"Turns",782999,784927,1928,"32A","MM"
"Turns",784927,786962,2035,"32C","MM"
"Turns",837340,850811,13471,"P4A","MM"
"Turns",850811,853520,2709,"P4C","MM"
"Turns",854075,865292,11217,"23A","MM"
"Turns",865292,866458,1166,"23C","MM"
"Turns",874810,885125,10315,"25A","MM"
"Turns",885125,888139,3014,"25C","MM"
"Turns",889366,891848,2482,"P16A","MM"
"Turns",891848,893234,1386,"P16C","MM"
"Turns",1027359,1033088,5729,"51A","MM"
"Turns",1033088,1037465,4377,"51C","MM"
"Turns",1045792,1057775,11983,"P18A","MM"
"Turns",1057775,1059261,1486,"P18C","MM"
"Turns",1059711,1064509,4798,"P19A","MM"
"Turns",1064509,1066836,2327,"P19C","MM"
"Turns",1067911,1074161,6250,"52A","MM"
"Turns",1074161,1077289,3128,"52C","MM"
"Turns",1077611,1082411,4800,"P20A","MM"
"Turns",1082411,1085625,3214,"P20C","MM"
"Turns",1124411,1127002,2591,"53A","MM"
"Turns",1127002,1130567,3565,"53C","MM"
"Turns",1136320,1143384,7064,"54A","MM"
