"BP","Code","Duration","Signer","Question","QuestionType","MultiUnit","SpeakerOnLeft","DyadCode","Brows_YN.code","Brows_YN.relStart","Brows_YN.relStop","Brows_YN.dur","Head-mov_YN.code","Head-mov_YN.relStart","Head-mov_YN.relStop","Head-mov_YN.dur","Main-gloss_YN.code","Main-gloss_YN.relStart","Main-gloss_YN.relStop","Main-gloss_YN.dur","Main-gloss_RC.code","Main-gloss_RC.relStart","Main-gloss_RC.relStop","Main-gloss_RC.dur","Brows_RC.code","Brows_RC.relStart","Brows_RC.relStop","Brows_RC.dur","Head-mov_RC.code","Head-mov_RC.relStart","Head-mov_RC.relStop","Head-mov_RC.dur","Non-dom_YN.code","Non-dom_YN.relStart","Non-dom_YN.relStop","Non-dom_YN.dur","Non-dom_RC.code","Non-dom_RC.relStart","Non-dom_RC.relStop","Non-dom_RC.dur","Brows_MG.code","Brows_MG.relStart","Brows_MG.relStop","Brows_MG.dur","Head-mov_MG.code","Head-mov_MG.relStart","Head-mov_MG.relStop","Head-mov_MG.dur","Non-dom_MG.code","Non-dom_MG.relStart","Non-dom_MG.relStop","Non-dom_MG.dur","Brows_MZ.code","Brows_MZ.relStart","Brows_MZ.relStop","Brows_MZ.dur","Head-mov_MZ.code","Head-mov_MZ.relStart","Head-mov_MZ.relStop","Head-mov_MZ.dur","Main-gloss_MG.code","Main-gloss_MG.relStart","Main-gloss_MG.relStop","Main-gloss_MG.dur","Main-gloss_MZ.code","Main-gloss_MZ.relStart","Main-gloss_MZ.relStop","Main-gloss_MZ.dur","Non-dom_MZ.code","Non-dom_MZ.relStart","Non-dom_MZ.relStop","Non-dom_MZ.dur"
-1,"1C.mpeg",2200,"YN",1,"polar",-1,"R","YR","AU1+2+4","0","802","802","HPf","12","2140","2128","JIJ","1420","2140","720","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
-1,"2C.mpeg",1560,"YN",-1,NA,-1,"R","YR","","0","0","0","blink","1504","1569","65","self-groom","1504","1569","65","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
-1,"3C.mpeg",1080,"RC",-1,NA,-1,"R","YR","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
-1,"4C.mpeg",4640,"RC",-1,NA,-1,"R","YR","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
-1,"5C.mpeg",2160,"YN",-1,NA,-1,"R","YR","","0","0","0","","0","0","0","JIJ","43","265","222","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
-1,"6C.mpeg",4080,"RC",-1,NA,-1,"R","YR","","0","0","0","","0","0","0","","0","0","0","PO","3150","4080","930","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
-1,"7C.mpeg",1560,"YN",1,"alternative",-1,"R","YR","AU1+2+4","0","847","847","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
-1,"8C.mpeg",4320,"RC",1,"alternative",1,"R","YR","","0","0","0","","0","0","0","","0","0","0","HOE^PO^PO","257^839^3736","839^1159^4352","582^320^616","AU1+2+4",1192,4351,3159,"HPf",558,4352,3794,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
-1,"9C.mpeg",3360,"RC",-1,NA,-1,"R","YR","","0","0","0","","0","0","0","","0","0","0","QS","3312","3353","41","AU1+2+4",1832,3323,1491,"HT",0,3323,3323,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
-1,"10C.mpeg",2920,"RC",-1,NA,-1,"R","YR","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","",0,0,0
